<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
etti,	et <n> <3p> <cpl_di>
etti,	et <v> <t_past> <3s>
etti,	et <v> <t_past> <3p>
“lütfen	<unk>
bana	ban <n> <dat> <3s>
bana	ban <n> <dat> <3p>
bana	ban <v> <t_opt> <3s>
bana	ban <v> <t_opt> <3p>
bana	ben <prn> <pers> <dat>
bana	ben <prn> <pers> <dat> <3s>
bana	ben <prn> <pers> <dat> <3p>
söyler	söyle <v> <t_aor> <3p>
misin,	mis <n> <p2s> <3s>
misin,	mis <n> <p2s> <3p>
misin,	mis <n> <gen>
misin,	mis <n> <gen> <3s>
misin,	mis <n> <gen> <3p>
misin,	mi <q> <2s>
buradan	bura <prn> <locp> <abl> <3s>
buradan	bura <prn> <locp> <abl> <3p>
hangi	hangi <n> <3s>
hangi	hangi <n> <3p>
hangi	hangi <prn> <qst>
hangi	hangi <prn> <qst> <3s>
hangi	hangi <prn> <qst> <3p>
yöne	yön <n> <dat> <3s>
yöne	yön <n> <dat> <3p>
gitmem	git <v> <D_mA> <n> <p1s> <3s>
gitmem	git <v> <D_mA> <n> <p1s> <3p>
gitmem	git <v> <neg> <t_aor> <1s>
gitmem	git <v> <vn_ma> <p1s>
gitmem	git <v> <vn_ma> <p1s> <3s>
gitmem	git <v> <vn_ma> <p1s> <3p>
gerektiğini?”	<unk>
“Bu,	<unk>
nereye	nere <prn> <qst> <dat> <3s>
nereye	nere <prn> <qst> <dat> <3p>
gitmek	git <v> <vn_mak> <3s>
gitmek	git <v> <vn_mak> <3p>
gitmek	git <v> <vinf>
gitmek	git <v> <cv_mak>
istediğine	iste <v> <vn_dik> <p2s> <dat> <3s>
istediğine	iste <v> <vn_dik> <p2s> <dat> <3p>
istediğine	iste <v> <vn_dik> <p3s> <dat>
istediğine	iste <v> <vn_dik> <p3s> <dat> <3s>
istediğine	iste <v> <vn_dik> <p3s> <dat> <3p>
istediğine	iste <v> <part_dik> <p2s> <dat>
istediğine	iste <v> <part_dik> <p2s> <dat> <3s>
istediğine	iste <v> <part_dik> <p2s> <dat> <3p>
istediğine	iste <v> <part_dik> <p3s> <dat>
istediğine	iste <v> <part_dik> <p3s> <dat> <3s>
istediğine	iste <v> <part_dik> <p3s> <dat> <3p>
istediğine	iste <v> <cv_dik> <p3s> <dat>
bağlı,”	<unk>
dedi	de <v> <t_past> <3p>
Kedi.	kedi <n> <3s>
Kedi.	kedi <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
"Neresi	nere <prn> <qst> <p3s> <3s>
"Neresi	nere <prn> <qst> <p3s> <3p>
olduğu	ol <v> <vn_dik> <p3s> <3s>
olduğu	ol <v> <vn_dik> <p3s> <3p>
olduğu	ol <v> <vn_dik> <acc>
olduğu	ol <v> <vn_dik> <acc> <3s>
olduğu	ol <v> <vn_dik> <acc> <3p>
olduğu	ol <v> <part_dik> <p3s>
olduğu	ol <v> <part_dik> <p3s> <3s>
olduğu	ol <v> <part_dik> <p3s> <3p>
olduğu	ol <v> <part_dik> <acc>
olduğu	ol <v> <part_dik> <acc> <3s>
olduğu	ol <v> <part_dik> <acc> <3p>
olduğu	ol <v> <cv_dik> <p3s>
pek	pek <adj> <Djn_0> <n>
pek	pek <adj> <Djn_0> <n> <3s>
pek	pek <adj> <Djn_0> <n> <3p>
