<S> <S>+BSTag
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
taktı,	takt <n> <p3s> <3p>
taktı,	takt <n> <acc>
taktı,	takt <n> <acc> <3s>
taktı,	takt <n> <acc> <3p>
taktı,	tak <n> <cpl_di> <3s>
taktı,	tak <n> <cpl_di> <3p>
taktı,	tak <n> <3p> <cpl_di>
taktı,	tak <v> <t_past> <3s>
taktı,	tak <v> <t_past> <3p>
"Nereden	nere <prn> <qst> <abl> <3s>
"Nereden	nere <prn> <qst> <abl> <3p>
başlayayım,	<unk>
Majesteleri?"	majeste <n> <pl> <p3s> <3s>
Majesteleri?"	majeste <n> <pl> <p3s> <3p>
Majesteleri?"	majeste <n> <pl> <acc>
Majesteleri?"	majeste <n> <pl> <acc> <3s>
Majesteleri?"	majeste <n> <pl> <acc> <3p>
Majesteleri?"	majeste <n> <p3p>
Majesteleri?"	majeste <n> <p3p> <3s>
Majesteleri?"	majeste <n> <p3p> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu.	sor <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kral	kral <n> <3s>
Kral	kral <n> <3p>
ciddi	ciddi <n> <3s>
ciddi	ciddi <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle,	sesle <v> <t_imp> <3p>
sesle,	ses <n> <D_lA> <v> <t_imp> <2s>
sesle,	ses <n> <D_lA> <v> <t_imp> <3p>
sesle,	ses <n> <ins>
sesle,	ses <n> <ins> <3s>
sesle,	ses <n> <ins> <3p>
"Başından	baş <n> <p2s> <abl> <3s>
"Başından	baş <n> <p2s> <abl> <3p>
"Başından	baş <n> <p3s> <abl>
"Başından	baş <n> <p3s> <abl> <3s>
"Başından	baş <n> <p3s> <abl> <3p>
başla,	baş <n> <D_lA> <v> <t_imp> <3p>
başla,	baş <n> <ins>
başla,	baş <n> <ins> <3s>
başla,	baş <n> <ins> <3p>
sonuna	son <adj> <Djn_0> <n> <p2s> <dat> <3s>
sonuna	son <adj> <Djn_0> <n> <p2s> <dat> <3p>
sonuna	son <adj> <Djn_0> <n> <p3s> <dat>
sonuna	son <adj> <Djn_0> <n> <p3s> <dat> <3s>
sonuna	son <adj> <Djn_0> <n> <p3s> <dat> <3p>
sonuna	son <n> <p2s> <dat>
sonuna	son <n> <p2s> <dat> <3s>
sonuna	son <n> <p2s> <dat> <3p>
sonuna	son <n> <p3s> <dat>
sonuna	son <n> <p3s> <dat> <3s>
sonuna	son <n> <p3s> <dat> <3p>
varıncaya	<unk>
kadar	<unk>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
et,	et <n> <3s>
et,	et <n> <3p>
et,	et <v> <t_imp> <2s>
et,	et <v> <t_imp> <3p>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
dur"	dur <v> <t_imp> <3p>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Beyaz	beyaz <n> <3s>
Beyaz	beyaz <n> <3p>
Tavşan’ın	<unk>
okuduğu	oku <v> <vn_dik> <p3s> <3s>
okuduğu	oku <v> <vn_dik> <p3s> <3p>
okuduğu	oku <v> <vn_dik> <acc>
okuduğu	oku <v> <vn_dik> <acc> <3s>
okuduğu	oku <v> <vn_dik> <acc> <3p>
okuduğu	oku <v> <part_dik> <p3s>
okuduğu	oku <v> <part_dik> <p3s> <3s>
okuduğu	oku <v> <part_dik> <p3s> <3p>
okuduğu	oku <v> <part_dik> <acc>
okuduğu	oku <v> <part_dik> <acc> <3s>
okuduğu	oku <v> <part_dik> <acc> <3p>
okuduğu	oku <v> <cv_dik> <p3s>
mısralar	mısra <n> <D_lA> <v> <t_aor> <3p>
mısralar	mısra <n> <3p>
mısralar	mısra <n> <pl>
mısralar	mısra <n> <pl> <3s>
mısralar	mısra <n> <pl> <3p>
şöyleydi:	şöyle <adv> <Dan_0> <n> <cpl_di> <3p>
